                                                                              30 Sep 2017 19:26:05
 AGI Educational Alliance Partner
Place-Ames-Sensor-Ames_Ground_Station-To-Satellite-CySat1:  Access Summary Report


Ames_Ground_Station-To-CySat1
-----------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                     306     9 Jan 2018 22:29:54.639     9 Jan 2018 22:33:16.801           202.161
                     307    10 Jan 2018 00:06:23.666    10 Jan 2018 00:09:47.060           203.393
                     308    10 Jan 2018 16:46:09.604    10 Jan 2018 16:49:50.267           220.663
                     309    10 Jan 2018 18:22:58.295    10 Jan 2018 18:26:07.231           188.936
                     310    10 Jan 2018 21:39:06.005    10 Jan 2018 21:39:15.147             9.142
                     311    10 Jan 2018 23:13:56.491    10 Jan 2018 23:18:11.145           254.654
                     312    11 Jan 2018 17:30:10.931    11 Jan 2018 17:34:23.439           252.508
                     313    11 Jan 2018 22:22:08.633    11 Jan 2018 22:25:30.980           202.348
                     314    11 Jan 2018 23:58:37.846    12 Jan 2018 00:02:00.954           203.108
                     315    12 Jan 2018 16:38:23.537    12 Jan 2018 16:42:04.415           220.878
                     316    12 Jan 2018 18:15:12.491    12 Jan 2018 18:18:21.215           188.724
